Fon,French
E zɔn mi ɖɔ ma kplɔn kponɔ lε sin cuku enε ɔ.,On m'a demandé de dresser ce chien policier
Mi nɔ ɖu nu kpodo azinzɔnnɔ kpo.,On mange avec le malade
Mi nɔ ɖu nu ganji ɖo fi a.,On mange mal ici
Mi na ze folo yɔdo tɔn ji.,On mettra des fleurs sur sa tombe
Ta nɔ ɖo te bɔ e nɔ xwe aza nu koli a.,On ne laisse pas la tête pour coiffer le genou
E si yi toxo ɔ mε a.,On ne peut pas aller au centre-ville
Ye nɔ mɔ fεnnyε ɖo fi a.,On ne trouve pas de manioc ici
E kpi tan nu wε ă wε à ?,On ne t’as donc pas raconté l’histoire de te famille ?
E kpi tan tɔn nu we a wε à ?,On ne t’en a donc pas raconté l’histoire ?
E sɔ nɔ mɔ aɖu ɖo nu tɔn mε ă.,On ne voyait plus de dents dans sa bouche
E ɖɔ xo towe ɖɔ wε ɖo gbavinukpεnnɔ mε.,On parle de toi à la télé
Mi hεn ɔ mi na vɔ zan mɔ enε ɔ.,On peut encore utiliser cette machine
E hεn ɔ e na mɔ gbɔn flεsεε nu.,On peut voir de la fenêtre
Mi ɖo atin ɖokpo do wε.,On plante un arbre
Mi nɔ ɖo fεnnyε ja wε.,On râpait le manioc
Mi nɔ na nu mε e yi gbe ganji lε.,On récompense ceux qui ont bien répondu
Mi ɖo ama xuxu ɔ gbe wε.,On rentre l’herbe séchée
E nɔ zan bo nɔ jlε avɔ ɔ kpɔn.,On s'en sert pour mesurer le tissu
"Mi na wa wli bo n'i, ma ɖi xεsi o.","On s'occupera de lui, ne t'inquiète pas"
Mi nɔ ɖo lilɔn wε kpodo awajijε kpo.,On sautait de joie
Mi na mɔ vivo ɖo atinkεn lε wu.,On sera soulagé par les médicaments
Mi ɖo azɔ tɔn blo ɖo wε.,On soigne son travail
Mi ɖo mi ɖe dlεn ɖo xuta nyεkεn mε.,On s’allonge sur le sable de la plage
E ɖo xo ɖɔ nu we wε.,On te parle
Mi ɖo 'manivelle' ɔ lilε wε.,On tourne la manivelle
Mi nɔ w'azɔ syεnsyεn bo nɔ din.,On travaille durement et on réussit
Mi nɔ wazɔ bo nɔ ɖu ɖe ji.,On travaille et on réussit
Avivɔ ɖo mε sin wε.,On tremble de froid
Mi nɔ mɔ hunto ɖo atinkuku lε mε.,On trouve des champignons dans les bois
E nɔ mɔ ayihundanu ɖo ajɔxwe ɔ sin agbajε lε ji.,On trouve des jouets sur les étalages des magasins
E na dɔn to nu mi mε we lε.,On va vous punir tous les deux
"Egbe ɔ, e ka tɔn ma ze katawunbya tɔn.","Or, ce jour-là, il était sorti sans son parapluie"
Fitε e nɔ jε sansi ɖe ?,Où achète-t'on de l'essence ?
Fitε mi ɖo gbɔjε mitɔn ɖu ɖe wε ?,Où est-ce que vous passez vos vacances ?
Fitε mi nɔ ɖu gbɔjε mitɔn ɖe xwe ɖokpo ɖokpo mε.,Où est-ce que vous passez vos vacances d'été chaque année ?
Fitε un si yi ?,Où irais-je ?
Ali tε e nɔ gbɔn yi ?,Où passe-t'on pour y aller ?
Fitε e nɔ do hun ɖe ?,Où prend-on le moyen de transport ?
Fitε un sixu dɔ egbe zanmε ?,Où puis-je dormir ce soir ?
Fitε un si mɔ wema xixa ɖe ?,Où puis-je trouver les livres ?
Fitε un na ɔ yi ?,Où serais-je allée ?
Fitε agban mitɔn ɖe ?,Où sont vos bagages ?
Fitε hwla ɖo a ɖe ?,Où te caches-tu ?
Fitε nɔvi towe nɔ du gbɔjε tɔn ɖe ?,Où ton frère passe-t-il ses vacances d'été ?
Fitε e nɔ w'azɔ ɖe ?,Où travaille-t-il ?
Fiɖe a na nɔ ta zo ɖe zanmε tεgbε ɔ.,Où tu brilleras toutes les nuits
Fitε un na dɔ egbe zanmε gbadanu ?,Où vais-je dormir ce soir ?
Fitε a na yi ɖe ?,Où vas-tu ?
Fitε yi a ɖe azɔmε a ?,Où vas-tu à l’université ?
A wɔn ɖɔ Mawu sεn ɔ gbe ɖɔ enε ma ze mε ɖevo sin nu ɔ wε ă ?,Oublies-tu que la loi de Dieu défend de prendre le bien d'autrui ?
Bɔ fitε wε koklosi mitɔn wiwi ɔ gosin.,Oui ! Mais d'où vient notre poule noire ?
"Ee, nε yovo dokɔ towe lε nɔ wa bo bɔ ?","Oui, comment est-ce que tes gâteaux deviennent si tendres ?"
E zawe tawun bɔ tεnmε ɖe mε kpodo hɔn tɔn ɖaxo lε kpo.,"Oui, elle est bien éclairée et aérée par de grandes portes et fenêtres"
"Eεn, un blo wezunkinkan bo un ma so kan wezun din a e wɔ blo xwe gege.","Oui, j'ai fait du jogging et cela fait des années que je n'ai pas couru"
"E, un jawee.","Oui, j'arrive"
"E, un nɔ blo azan lε bi.","Oui, je m'entraîne tous les jours"
"Εεn, un xɔ nu kpεɖe.","Oui, j’ai acheté un peu"
"Εεn, un sa ama ce lε bi.","Oui, j’ai vendu tous mes légumes"
"Εεn, asi ce lε, ye ɖo gangi.","Oui, mes femmes sont bien"
"Εεn, xεvi kpεvi, ɖu lee jlo wε gbɔn ɔ.","Oui, petit moineau, mange suivant ton appétit"
"Ee, un nɔ blo azan lε bi.",Oui. Je m'entraîne tous les jours
Mi hun wema mitɔn lε.,Ouvrez vos livres
Tɔ ce yovozεn ɔ ɖokpo nyɔ.,Papa ! Une orange est gâtée
"Papa, ma ɖi xεsi o, vodungbe wε.","Papa, ne t'inquiète pas, c'est dimanche"
Do ye vε sin do mi su akwε gbo wε sin.,Parce qu'ils pensent que nous sommes mal payés
Do un do xεsi di ɖo ta towe mε wε.,Parce que je m'inquiète pour toi
Do axisinɔ lε nɔ su akwε a.,Parce que les clients ne paient pas
Sɔ hwε mitɔn lε sɔ kε mi.,Pardonne-nous nos offenses
"Hweɖe lε nu ɔ, mεsi ɔ nɔ xlε azɔ tɔn azɔmε vi ɖe lε nu ye na ɖo blo e ye ɖɔhun.","Parfois, le maître montre son travail comme modèle aux autres élèves"
A se glensigbe wε à ?,Parles-tu anglais ?
A se flansegbe wε à ?,Parles-tu français ?
Mi ni ɖɔ xo ɖokpo.,Parlons ensemble
Gbadanu yi a ɖe a ?,Pars-tu ce soir ?
Sɔ yi a ɖe a ?,Pars-tu demain ?
E na nyi hwenu ɖe mi ɖo na ɖi sa o a.,Pas quand nous devons nous promener
Hwε sin sa nu ɔ nu mi.,Passe-moi le pinceau
Pɔlu hεn bese kpεvi ɖo alɔ mε ɖayi.,Paul tenait dans ses mains une petite grenouille
Paul mε ɖe nɔ Jean ɖie.,"Paul, voici Jean"
Wamɔnɔ nu nyanya wa tɔ lε.,Pauvres pécheurs
"Nukplɔnkplɔn hwenu ɔ, Michel nɔ dan mlamla a.","Pendant la classe, Michel n'est pas distrait"
A ɖi ɖɔ e na lɛ kɔ wa ?,Penses-tu qu’il va revenir ?
Mεti nɔ ɖu nu kpodo azinzɔnnɔ ɔ kpo a.,Personne ne mange avec le malade
Mεti si tɔn a.,Personne ne peut sortir
E ze finε wu kpεɖe ɔ tɔ sisa ɖokpo ɖo finε.,"Peu après, il y a un lac"
Mε kpεɖe yi gbe nu sεn enε ɔ.,Peu de gens approuvent cette loi
A hεn ɔ a na jo mi do jεn ɖokponɔ kpεɖe à ?,Peux-tu me laisser seule un peu ?
"Nyi kpo Pierre kpo, mi ɖo toxomε.","Pierre et moi, nous sommes en ville"
"Hwε kpo Pie kpo, mi ɖo gleta.","Pierre et toi, vous êtes à la campagne"
Gan ɖe nyi kpεvi a.,"Point de petit chef, un chef est un chef"
"Nu nuɖuɖu ɔ, azin lε ɖo gannu ɔ mε.","Pour le dîner, il a des oeufs sur le plat"
"Nu kwε ɔ, gbeta ti nɔ nyi siso a.","Pour l’argent, rien n’est décidé"
"Do nyi gɔn, e nyi doto dagbe ɖe a.","Pour moi, ce n'est pas un vrai médecin"
"Bo ma na wɔn a, un sin go ɔ avɔvi ce to.","Pour ne pas oublier, je fais un noeud à mon mouchoir"
"Bo ma na ɖo pipan gudo a o, un ya wu yi.","Pour ne pas rater le train, je pars de bonne heure"
"Nu gan na gan ɔ, gan e nɔ gan ε.","Pour qu'un chef existe, il faut qu'il soit soutenu"
Bo nu ma ɖu ɖo kanlin gbεmε tɔn lε bi ji.,Pour que j'ai plus d'esprit que toutes les autres bêtes de la brousse
Nu akwε ma han asi tɔn o.,Pour que l'argent ne manque pas à sa femme
Bo nu asi tɔn na mɔ kwε.,Pour que sa femme ait de l'argent
Etε wutu xovε ɖo sinsin wε ?,Pourquoi a-t-il faim ?
Etε wutu e ɖo xεsi ɖi wε ?,Pourquoi a-t-il peur ?
Etε wutu wε a yi wan nu ahan mɔ ?,Pourquoi aimes-tu boire ?
Etε wutu a yi wan nu saɖiɖi ɖo tɔ to ?,Pourquoi aimes-tu te promener au bord du lac ?
Etε wutu mi nɔ yi azɔxɔ mε ?,Pourquoi allez-vous en classe?
Nu tε wutu a yi gbe ?,Pourquoi as-tu accepté ?
Etε wutu a xɔ atinsinsεn ɖokpo ?,Pourquoi as-tu acheté un fruit ?
Nu tε wutu a nyi awu tɔn lε ɖo gbe ?,Pourquoi as-tu jeté mes vêtements ?
Etε wutu a ɖu atinsinsεn enε ɔ ?,Pourquoi as-tu mangé ce fruit ?
Etε wutu a sa sin wewe ɖo do ɔ.,Pourquoi as-tu peint le mur en blanc ?
Nu tε wutu yozo hεn mi ɖe lε ɖesu ?,Pourquoi avez-vous aussi chaud ?
Etε wutu a nɔ nu gege ?,Pourquoi bois-tu beaucoup ?
Etε wutu a ɖo sin kpεɖe nu wε ?,Pourquoi bois-tu un peu d’eau ?
Etε wutu a ɖo agban bε wε ?,Pourquoi déménages-tu ?
Nu tε wutu ye ɖona si i ?,Pourquoi doivent-ils lui obéir ?
Etε wutu e ɖo zo fiɖe ye nɔ nɔ ɔ.,Pourquoi elle avait mis le feu à leur brousse
Etε wutu a ɖo hu do tɔn mε ?,Pourquoi en as-tu besoin ?
Etε wutu a ɖo xomεsin ji ?,Pourquoi es-tu en colère ?
Etε wutu a nyla hun sɔ mɔ ?,Pourquoi es-tu si agressive ?
Etε wutu a ɖo mεnu sɔ mɔ ?,Pourquoi es-tu si critique ?
"Etε wutu a ɖo nudo ba wε sɔ mɔ, Jane ?","Pourquoi es-tu si curieuse, Jane ?"
Etε wutu mi ɖo awajijε mε ?,Pourquoi êtes-vous heureux ?
Etε wutu mi ma ɖo awajijε mε à ?,Pourquoi êtes-vous malheureux ?
Etε wutu e ɖo na si mε ?,Pourquoi faut-il être sage ?
Etε wutu azinzɔnnɔ ɔ ma ɖo nunu wε ă ?,Pourquoi le malade ne boit-il pas ?
Etε wutu e na ko nu ɖe ?,Pourquoi lui sourire ?
Nu tε wutu ye ɖo su xo wε ?,Pourquoi manifestent-ils ?
Etε wutu a ɖo zɔnlin ɖi wε ?,Pourquoi marches-tu ?
Etε wutu a yi wan nu mi ?,Pourquoi m’aimes-tu ?
Nu tε wutu a ma ylɔ a ?,Pourquoi n'as-tu pas appelé ?
Etε wutu ma nɔ nu gbeɖe à ?,Pourquoi ne bois-tu jamais ?
Etε wutu wε a ma yi wan nu mi à ?,Pourquoi ne m'aimes-tu pas ?
Etε wutu a ma ɖo zɔnlin ɖi wε à ?,Pourquoi ne marches-tu pas ?
Nu tε wutu mi ma ɖo yiyi wε a ?,Pourquoi ne partez-vous pas ?
Etε wutu xovε ma sin à ?,Pourquoi n’a-t-il pas faim ?
Etε wutu kɔ mɔ nɔ hu we gbeɖe à ?,Pourquoi n’as-tu jamais soif ?
Etε wutu kɔ mɔ nɔ hu we ɖebu à ?,Pourquoi n’as-tu pas du tout soif ?
Etε wutu kɔ ma hu we à ?,Pourquoi n’as-tu pas soif ?
Etε wutu a ma xɔ à ?,Pourquoi n’en as-tu pas acheté ?
Nu tε wutu e ma si nyi Xogbonu alo Agbomε a ?,Pourquoi pas Porto-Novo ou Agbome ?
Etε wutu e na yi wan nu mεɖe ?,Pourquoi s'aimer ?
Etε wutu a ɖo xεsi ɖi wε ?,Pourquoi t'inquiètes-tu ?
Etε wutu xɔvε sin mε tobutobu enε ɔ lε ?,Pourquoi tant de monde a-t-il faim ?
"Etε wutu e ɖo jijo we do wε, Cindy ?","Pourquoi te quitte-t-il, Cindy ?"
Etε wutu e na ɖi hun na ?,Pourquoi y croire ?
Etε wutu e na lin kpɔn ?,Pourquoi y penser ?
Un si kplɔn nu mi a ?,Pourrais-je vous donner un conseil ?
Co bɔ ka mɔ kwε a.,Pourtant il n'a pas eu d'argent
Co bɔ un ka mɔ dɔ atin ɔ nu dagbe ɖe wε.,Pourtant je trouve que le bois est une très jolie matière
Mi hεn ɔ mi na ɖɔ fiɖe na mɔ sunnu lε sin wulεkpa ɖe ɔ a.,"Pouvez-vous aussi me dire où je peux trouver les toilettes pour hommes, s'il vous plaît ?"
Mi hεn ɔ mi na ɖɔ fiɖe un sixu mɔ alokan ɖe ɔ a ?,Pouvez-vous aussi me dire où je peux trouver un téléphone ?
Mi hεn ɔ mi na do alɔ nu mi a ?,Pouvez-vous m’aider ?
Mi sixu ɖɔ xo dεdε a ?,Pouvez-vous parler plus lentement ?
Fitε e nɔ ɖo hun ɖe ?,Prend-on le moyen de transport ?
Ze kofu ɖokpo ɖo tavo ɔ ji.,Prends un verre sur la table
Mi ze titɔn ɖe na wa ɔ.,Prenez la prochaine sortie
"Mi ze wema mitɔn, nuwlannu kpodo wemasunsunnu kpo.","Prenez votre cahier de brouillon, un crayon et une gomme"
Hwe wemaxixa towe nu ye.,Prête-leur ton livre
Hwe wemaxixa towe n'ε.,Prête-lui ton livre
E lɔn jε lεngbɔvi kpεvi ɔ ji.,Puis il sauta vite sur la petite chèvre
"Enε ɔ gudo un ɖɔ n'i ɖɔ n'i kan wezun, bo un ɖɔ n'i ɖɔ n'i nɔ te bo nɔ te kpɔn mi.","Puis je lui ai dit de courir, puis je lui ai demandé de s'arrêter et de m'attendre"
Un si kpɔn 'passeport' mitɔn a ?,"Puis-je voir votre passeport, s'il vous plaît ?"
"De e nyi mɔ ɔ, un na yi.","Puisque c'est comme ça, je m’en vais"
Etε a ɖu a ɖe ?,Qu'as-tu mangé ?
Nu tε a ɖu nu zanzan nuɖuɖu ?,Qu'as-tu mangé au petit-déjeûner ?
Etε mi na ɖu ɖo gan wewe mε ?,Qu'est-ce qu'on mange à midi ?
Nu tε nyi zingidi tobutobu enε ɔ ?,Qu'est-ce que c'est que tout ce bruit ?
Etε nu wε Kofi ɖe ?,Qu'est-ce que Kofi est en train de boire ?
Nu tε a blo nu jivi enε ɔ ?,Qu'est-ce que tu as fait à ce couteau ?
Nu tε blo a ɖe ɖayi ?,Qu'est-ce que tu fabriquais ?
Nu tε kpɔn a ɖe mɔ ?,Qu'est-ce que tu regardes comme ça ?
Nu tε kpɔn a ɖe sin ceju wo ?,Qu'est-ce que tu regardes depuis dix minutes ?
Nu tε ɖo mi wa wε ?,Qu'est-ce que vous avez ?
Nutε mi na nu ?,Qu'est-ce que vous voulez boire ?
Etε wε jε bɔ mi wa ?,Qu'est-ce qui s'est passé pour que vous soyez venus ?
Hwetεnu wε a nɔ do wan yiyi ?,Quand aimes-tu ?
Hwetεnu mi na jε dɔn ?,Quand arriverons-nous là-bas ?
Hwetεnu a xɔ atinsinsεn ɖokpo ?,Quand as-tu acheté un fruit ?
Hwetenu a mɔ nɔ towe gudogudo tɔn ɔ ?,Quand as-tu vu ta mère pour la dernière fois ?
Hwetεnu a na wa ɖo hu do tɔn ?,Quand en auras-tu besoin ?
Hwetenu nu wε hun de jε finε ɔ na sun ?,Quand est le bus suivant après celui-là ?
Hwetenu gan tantɔn mε sin hun ɔ na wa Kutɔnu ?,Quand est-ce que le bus de huit heures arrive à Cotonou ?
Hwetenu mɔto ɖe na wa din ɔ na wa Kutɔnu ?,Quand est-ce que le prochain bus arrive à Cotonou ?
"Azɔwavi ɔ nɔ to azɔwanu tɔn lε nu, e fo azɔ tɔn ɔ.","Quand il a fini son travail, l’ouvrier range ses outils"
"Nu e wa azɔxɔ mε ɔ, nukunmε tɔn nɔ mε, ɖa tɔn nɔ ɖo vunvun bɔ awu tɔn lε nɔ mε.","Quand il arrive en classe, sa figure est lavée, ses cheveux sont peignés, ses habits sont propres"
"Nu gbe ɔ mε nyɔ ɖεkpε ɔ, glesi ɔ nɔ kεn atinsinsεn.","Quand il fait beau, le paysan cueille des fruits"
"Ee ye wa Kutɔnu ɔ, mɔto lε ɖe bo nɔ nɔ te kpɔn mε ɖo hunɖotεn ɔ a ?","Quand ils arrivent à Cotonou, est-ce qu'il y a habituellement des taxis qui attendent à la gare routière ?"
"Nu xovε sin ye ɔ, xεvi lε nɔ ɖu dovɔn.","Quand ils ont faim, les oiseaux mangent des vers"
Hwetεnu a na yi azɔmε ?,Quand iras-tu a l’école ?
"Hwenu ɖee un bε trolo ɔ, agbɔn nɔ kpe mi nu ayi jijε.","Quand j'ai commencé, j'en avais assez de tomber tout le temps"
"Hwenu ɖee Kofi wa ɔ, mi bi ɖo fi.","Quand Kofi est arrivé, nous étions tous ici"
"Hwenu ɖee sun wa ji ɔ, xεvi lε ɖo han ji wε.","Quand la lune fut levée, les oiseaux chantèrent"
"Fa nɔ ɖo agun mε, nu bokɔnɔ nɔ wa yε ă.","Quand le Fa est au milieu de l'assemblée, le devin ne biaise pas"
Hwetεnu wε azinzɔnnɔ ɔ na nu amasin tɔn ?,Quand le malade va-t-il boire son remède ?
"Hun ɖe ɖyɔ ɔ, wefɔ tɔn nɔ ɖyɔ.","Quand le tam-tam change, les pas de danse changent aussi"
Hwetεnu vodunsi lε na ɖu we ?,Quand les initiés du vodou vont danser ?
"Nu mi byɔ azɔxɔ mε ɔ, mi nɔ ɖe gbakun mitɔn lε.","Quand nous entrons en classe, nous ôtons notre chapeau"
E nɔ da hun bɔ gbe tɔn nɔ vε se ă.,"Quand on a invité un orchestre de tam-tam, on ne se plaint pas du bruit"
Hwetεnu a na yi do yovotomε ?,Quand retournes-tu aux USA ?
Hwetεnu a nɔ fon zanzan ?,Quand te lèves-tu le matin ?
"Nu a ɖo ɔ, rɔbu enε ɔ nɔ nyɔ ɖεkpε.","Quand tu la portes, cette robe est jolie"
"Nyɔnu ma wa nuɖe a ɔ, asakpaɖa tɔn nɔ xo gan a.","Quand une femme n'a rien fait, ses cuisses ne battent pas la chamade"
Hwetεnu a na lε kɔɖo Bεnε ?,Quand vas-tu revenir au Bénin ?
Hwetεnu a na yi ml'ayi ?,Quand vas-tu te coucher ?
"Ee mi yi ɔ, Kofi wa.","Quand vous êtes partis, Kofi est arrivé"
Etε nu azinzɔnɔ ɔ ɖe ?,Que boit le malade ?
E na ce nu we !,Que dieu vous bénisse !
Etε ɖɔ nɔ towe ɖe ?,Que dit ta maman ?
Nu tε e nɔ blo ɖayi ?,Que faisait-il avant ?
Etε nɔ towe nɔ blo ?,Que fait ta mère ?
Etε e nɔ wa kpodo akwε enε ɔ kpo ?,Que fait-il avec cet argent ?
Etε mi nɔ blo nu mi byɔ azɔxɔ mε ɔ ?,Que faites-vous en entrant en classe ?
Lee e nɔ nyi sεn towe gbɔn ɖo sεxwe ɔ.,Que la façon dont tes lois sont respectées au ciel
Etε a na ɖu gbadanu ?,Que mangeras-tu ce soir ?
Nu tε a lin ɖe wu ?,Que penses-tu de ça ?
Nu tε ɖo jijε wε ?,Que se passe-t-il ?
Un te nɔ je hwenu ɖe hɔn lε ɖo susu ɔ ?,Que se passe-t-il lorsque les portes sont fermées ?
Nu tε mi ba nu ma yi ?,Que suggérez-vous que je prenne ?
Nu nyi towe ni su ɖo fi bi.,Que ton nom soit magnifié partout
De tε wε a na ze ?,Que vas-tu choisir ?
Etε ɖɔ xo gbe enε ɔ ɖe ?,Que veut dire ce mot ?
Etε xɔ gbe a ja ?,Que veux-tu acheter ?
Ani xɔ gbe a ja ?,Que veux-tu acheter ?
Etε mεsi ɔ nɔ kplɔn mi ?,Que vous enseigne l'instituteur ?
Etε mi nɔ mɔ ɖo azɔxɔ ɔ mε ?,Que voyez-vous en classe ?
Atinsinsεn tε a ɖu egbe ?,Quel fruit as-tu mangé aujourd’hui ?
Azɔ ɖetε mi nɔ wa ?,Quel genre de travail faites-vous ?
Nu tε ɖe mε ?,Quel intérêt ?
Azan tεgbe yi a ɖe ?,Quel jour pars-tu ?
Sεnsisa tε ɖie !,Quel peintre !
Akwε nabi wε e nɔ ɖu do sun ɖokpo mε ?,Quel salaire reçoit-il par mois ?
Nε gbe ɔ mε ɖe gbɔn ɖo Kutɔnu ?,Quel temps fait-il à Cotonou ?
Dεkpε tε ɖie !.,Quelle beauté !
Ahan tε ba a ɖe ?,Quelle boisson veux-tu ?
Nutε ?,Quelle chose ?
Fitε ali ɖe yi Glexwe ɔ ɖe ?,Quelle est la route pour Ouidah ?
Ahan syεnsyεn tε un ɖo na xwle we ?,Quelle sorte d’alcool dois-je te servir ?
Ahan syεnsyεn ɖe tε ba a ɖe ?,Quelle sorte d’alcool veux-tu ?
Mε nyi mε enε ɔ lε ɖo kwekwetin sa.,Quelles sont ces personnes sous le bananier ?
Mε nyi mε ɖo agɔnkεtin ɔ gwlε lε ?,Quelles sont les personnes qui sont sous le cocotier ?
Mε ɖe naɔ jlo.,Quelqu'un aurait pu en vouloir
Mε ɖokpo na wa kpla mi.,Quelqu'un viendra vous chercher
Gan xixo nabiɖe nu gbɔjε na to nu lε bi.,Quelques heures de repos devraient tout arranger
"Kpεɖe mε, amɔ gege kwiji tawun.","Quelques-unes sont propres, mais beaucoup sont très sales"
Sun tε lε wε ɖo xwe ɖokpo mε ?,Quels sont les mois de l'année ?
Nu kan byɔ ɔ xo wε nɔ gɔ nu we a ?,Questionner les gens te remplit-il l'estomac ?
Mε e nu ɔ na lε wa nu.,Qui a bu boira
Mε wε wlan wema elɔ ɔ ?,Qui a écrit cette lettre ?
Mε wε blo koklosi nukɔntɔn ɔ lo ?,Qui a fait la première poule ?
Bɔ ye ɖesu wa ze ɖo kɔ nu ato wiwi ɔ.,Qui à son tour accusa le singe blanc
Mε wε Asiba ɖo nukun ɖɔ Kɔku na da ?,Qui Asiba espère-t-elle que Koku marierait ?
Mε ɖo zan ɔ kpa ?,Qui est à côté du lit ?
Mε wε nyi ɖyɔvi ɖe ɖo awu fεsinnɔ mε ɔ ?,Qui est cette jolie fille en robe bleue ?
Mε ɖo azɔn jε wε ?,Qui est malade ?
Mε wε Kɔku ɖɔ nu Sika ɖɔ e ɖu mɔlikun ?,Qui Koku a-t-il dit à Sika qQui avait mangé le riz ?
"Nu ɖebu ɖo jijε wε ɔ, e na ɖiɔ gbeta a.","Quoiqu'il advienne, il ne changera pas d'avis"
Nu tε a xɔ ɖi atinsinsεn ɖɔhun ?,Qu’as-tu acheté comme fruits ?
Etε nu wε Kofi ɖe ?,Qu’est-ce que kofi est en train de boire ?
Etε a hεn wa nu mi ?,Qu’est-ce que vous m’avez emmené ?
Etε wa xwe kpodo nɔvi towe kpo ?,Qu’est-ce qui s’est passé entre toi et ton frère ?
Etε wε ye gblɔn adan ɖɔ emi na hu.,Qu’ont-ils menacé de tuer ?
Dɔ ɖe e vivi gbɔn nu mi.,Raconte-moi à quel point c'était intéressant
"Kintɔ enε ɔ lε ɔ glegbenu ɖaxo wε nyi ye, zan mε jε ye nɔ fun ahwan, keze ɔ e nɔ ba ye kpo.","Redoutables, ils ne se battaient que la nuit, se dissimulant dans la journée"
Lin tamε kpɔn cobɔ ze gbeta towe.,Réfléchis avant de prendre ta décision
Kpɔn !,Regarde !
Kpɔn lee Kofi klo gbɔn e.,Regarde comme Kofi est gros
Kpɔn ɖe degɔn ce lε klo gbɔn ɔ.,Regarde comme mes crevettes sont grosses
Remi ɔ azɔmε vi fɔnlin nɔ wε.,Rémi était un écolier paresseux
Mi ze kan ɔ jo.,Rendez la corde
Vɔ xo ɔ ɖɔ nu mi.,Répète-moi encore le mot en question
"Gbɔjε hwε, enε ɔ gudɔ ɔ, a na wa yi.","Repose-toi avant, tu partiras ensuite"
Vɔ wa !,Reviens !
Nu ti nɔ nyi kpe a.,Rien n'est plus pareil
Roy si gbe klo wε a ?,Roy a-t-il une grosse voix ?
E nyi mɔ jεn wε fitε azin nukɔntɔn ɔ gosin ?.,"S'il en est ainsi, d'où est venu le premier oeuf ?"
"Nu e nu azɔ ɖo azɔmε ɔ, e na dɔn to n'i.","S'il fumait à l'école, il serait puni"
Ɖa tɔn lε bi wewe.,Sa chevelure était devenue toute blanche
Hεnnumɔ tɔn do xo hu ce.,Sa famille est plus ancienne que la mienne
"Asi tɔn ɖo fi ă, e ɖo dɔn.","Sa femme n'est pas ici, elle est là-bas"
Azɔn tɔn gbɔ bi sese.,Sa maladie est complètement terminée
Nɔ tɔn ya vi bo ɖɔ .,Sa mère pleura et dit
"Eyε mε vo ɔ, un ɖo akɔnkpikpan a vɔvɔ ă.","Sans lui, je n’ai même pas de courage"
"Eyε mε vo ɔ, un ɖo akɔnkpikpan ă.","Sans lui, je n’ai pas de courage"
Mi nɔ xwe do Mawu sε lε.,Servez Dieu de toute votre âme
Asi tɔn sin mε lε ɖɔ mi na gba goxɔ n'ε dandan.,Ses beaux-parents exigèrent de lui bâtir une case
Afɔgodwe tɔn lε kwiji.,Ses chaussettes sont sales
Ɖa tɔn nɔ ɖo vunvun.,Ses cheveux sont peignés
Asakpaɖa tɔn nɔ xo gan à.,Ses cuisses ne battent pas la chamade
Bɔ awu tɔn lε nɔ mε.,Ses habits sont propres
Wema tɔn lε nɔ vun a.,Ses livres ne sont pas déchirés
Nukun tɔn lε sɔ si nɔ xlεe ali a.,Ses yeux ne savaient plus le guider
"Nu azɔgo ɔ jε wε ɔ, mi hεn ɔ mi na wa yi sɔ cobɔ gan wewe na xo.","Si c'est seulement un pot d'échappement, vous pouvez la récupérer demain avant midi"
"Nu e ma nyi hwε a, hun nɔvi towe wε.","Si ce n'est pas toi, c'est donc ton frère"
E ma nyi Zinsu ă hun Sagbo wε.,"Si ce n'est pas Zinsu, c'est donc Sagbo"
"Nu un ɖo tεn mitɔn mε ɔ, un na ɖo goxo.","Si j'étais à votre place, je prendrais rendez-vous"
"Nu mi ɖiɔ gbeta gbeɖe hun, mi ɖɔ nu mi.","Si jamais vous changez d'avis, faites-le moi savoir"
"Nu un ma blo din a, e na sɔ gbe gbadanu a.","Si je ne fais pas ça maintenant, ce ne sera pas prêt ce soir"
"Nu xεsi ɖi mi ɔ, na ɖido.","Si j’ai peur, je me sauve"
"Kofi ko wa wε ɔ, mi na ko yi.","Si Kofi était venu, nous serions partis"
"Kofi ma yi ă, mi na wa.","Si Kofi ne part pas, nous viendrons"
"Enyi Kofi w'azɔ ɔ, e na mɔ kwε.","Si Kofi travaille, il aura de l'argent"
"Kofi wε wa din ɔ, mi na yi.","Si Kofi venait maintenant, nous partirions"
"Kofi wa hweɖebunu ɔ, mi na yi.","Si Kofi vient à n'importe quelle heure, nous partirons"
"Nu ji ɔ nɔ te o, mi hεn ɔ mi na tɔn.","Si la pluie s'arrête, vous serez autorisés à vous déplacer"
"Nu kpɔ mɔ vi ce ɔ, e na ɖu n'i.","Si le léopard voit mon enfant, il le mangera"
"Nu asu ce kun hun ɔ, hun e lin a nε.","Si mon mari conduit, c’est que ce n’est pas loin"
"Nu mi ɖo akwε ɔ, mi na yi ɖu we.","Si nous avons de l’argent, nous irons danser"
"Nu avivɔ sin mi ɔ, mi ɖo awu.","Si nous avons froid, habillons-nous"
"Nu un tuun nuɖe we ɔ, e ɖɔ !.","Si seulement je savais ce que c'était, dit-il !"
Nu a ɔ ba na se xo ce ɔ.,Si seulement tu voulais bien m'écouter
"Nu mɔ wε ɔ, e na yi.","Si tel est le cas, il partira"
